Plate,VIN,Year,Make,Model,Category,UserDNI
4123GYM,VF72SA3RXAXNENWWE,2010,Citroën,C5 Aircross,SUV,96266042-W
4903LKF,WVWP836S3LTA1J6B6,2020,Volkswagen,Passat,berlina,67093695-G
5318KMM,VF1DWNH66JD4G0X6N,2018,Renault,Mégane,berlina,67093695-G
8890JKK,WF0Z1S13XFXGK2AGR,2015,Ford,Kuga,SUV,36402287-A
6654NFR,VF3D68VF3SV2BF9VC,2025,Peugeot,308,berlina,14353584-C
3902LBN,VF7DET1L9KNA9A0AH,2019,Citroën,Berlingo,monovolumen,14353584-C
3275MPL,WBARWUV92RLKB0NG3,2024,BMW,Serie 5,berlina,14353584-C
4121KNK,VF1B22KN7JZSMPSY3,2018,Renault,Scénic,monovolumen,58443959-Q
3455JLN,WVWERPMZ3G9A7FCTW,2016,Volkswagen,Polo,urbano,42274840-N
8974JVH,WF06C9NT2GUSCSX4T,2016,Ford,Focus,berlina,42274840-N
6620HYD,VF7WJ4656E37T4B8S,2014,Citroën,Berlingo,monovolumen,31958266-L
9222HCR,WDB86R515BHP0JRV7,2011,Mercedes-Benz,Clase A,urbano,31958266-L
7011GVM,WBAE04UL7A9TBG81E,2010,BMW,X5,SUV,31269597-Q
7121GNF,VF1MTELZX9HZJST3P,2009,Renault,Mégane,berlina,16797042-G
3472DXZ,WAUC029M36PJ6S6W2,2006,Audi,A3,berlina,16797042-G
8229GTS,WVW9RBE33A1AKTX41,2010,Volkswagen,Golf,urbano,33005748-N
7798LVV,WF0ZR47Y4MY21DUF8,2021,Ford,Focus,berlina,33005748-N
8659HGM,WDBKMAPM5BU7YVRK7,2011,Mercedes-Benz,Clase C,berlina,33005748-N
5125LRP,WDB8RFKN1MNU5GCER,2021,Mercedes-Benz,GLA,SUV,44097083-B
0648FSJ,JT2327XT6782GNNMF,2007,Toyota,Corolla,berlina,44097083-B
9067HSR,VF3406MJ7D7T76CM6,2013,Peugeot,208,urbano,44097083-B
6466JBL,VF3C1EJS0EVG39KXZ,2014,Peugeot,208,urbano,56975874-K
6608HDC,JT26BXSX3BG294DN2,2011,Toyota,Corolla,berlina,56975874-K
7368LGH,WVWX019A3LB4AKFPH,2020,Volkswagen,Tiguan,SUV,56975874-K
1122HGX,WF0TNRTF6B2J4A0S2,2011,Ford,Kuga,SUV,28116593-J
2558KZY,WBA8UHVR9K9H01WA1,2019,BMW,Serie 3,berlina,22786518-G
8051JBY,WBASETZT3ER543ENF,2014,BMW,Serie 3,berlina,22786518-G
9605LGH,WDBPXEFF5LBC2YK3G,2020,Mercedes-Benz,Clase C,berlina,56364322-Q
0292LZZ,WBASGKZZ6NZSC1A4T,2022,BMW,Serie 1,urbano,65481375-F
7707HLW,WAU4CMT1XCWDDA5MZ,2012,Audi,TT,deportivo,93052357-S
7563JJH,JT2GZAXM3FKW1P9CX,2015,Toyota,Yaris,urbano,73182306-D
9984HHH,WAUKRYE99BHF7JL0K,2011,Audi,TT,deportivo,73182306-D
6981BNL,WVW55F7941YLH6WYX,2001,Volkswagen,Golf,urbano,71270025-V
4076DVW,VF77BLXD4677U81CN,2006,Citroën,Berlingo,monovolumen,84073534-R
4612HMT,VF14J2209CLFFLMF0,2012,Renault,Scénic,monovolumen,56756056-Z
0963GTS,WDB8128C3ANBCXKT1,2010,Mercedes-Benz,Clase A,urbano,56756056-Z
3159FGF,WVWNF6C176F2GDAMH,2006,Volkswagen,Polo,urbano,56473337-B
9489HGX,VF1SPMJZ9BDYJVDND,2011,Renault,Mégane,berlina,45043656-L
0100JTR,WF03JDWU9G6BRD6JR,2016,Ford,Kuga,SUV,86949888-K
9569BDR,VSS56X795YNL1UUAT,2000,Seat,Ateca,SUV,59827998-F
0745HHH,WAUT31P78BMD34WH0,2011,Audi,A3,berlina,74199687-P
7465KYN,VSSW280Y8K2NR2MN6,2019,Seat,León,berlina,74199687-P
7978HRX,WF09BUJD9DTCTXGHR,2013,Ford,Fiesta,urbano,85343487-D
7455JJW,WDBC2B1ZXF2Z6A7GJ,2015,Mercedes-Benz,Clase A,urbano,42642418-G
5418GSC,WVWNPS0J798YUEML8,2009,Volkswagen,Golf,urbano,42642418-G
9143JBY,VF7HDVC04EKWWYU9X,2014,Citroën,C5 Aircross,SUV,18203838-M
0000LCY,VF1V1X568KMY2U405,2019,Renault,Mégane,berlina,18203838-M
0487MYF,VF13PKFZ2SJBK4NZE,2025,Renault,Captur,SUV,58914710-A
8098JSL,JT2XU9VG5G99GRYCL,2016,Toyota,Yaris,urbano,58914710-A
8857JKK,VF37LXNE1FD80STJ7,2015,Peugeot,5008,monovolumen,58914710-A
1800FFK,WF0VBBRA963VW49W5,2006,Ford,Kuga,SUV,14063702-F
4590FZR,WBAKAUDP7884NCA5J,2008,BMW,X5,SUV,13320650-Q
6527JHJ,JT2E27VT0FGHVHERM,2015,Toyota,Corolla,berlina,29381984-J
6183HZZ,VSSFC0A22EF8SB3GE,2014,Seat,Toledo,sedán,29381984-J
0273KHY,WAUKAF331JH5J714Z,2018,Audi,A4,berlina,60871604-B
9968HCR,JT21HWSM5BA6UXH6R,2011,Toyota,Corolla,berlina,69880156-S
6774GWC,VF1JM5K94AUTV1D2X,2010,Renault,Mégane,berlina,81138380-S
8428GZT,VSSFYS064AW83H7FX,2010,Seat,León,berlina,81138380-S
5983HLW,WDBRDBDD1CZCNDEWY,2012,Mercedes-Benz,GLA,SUV,77945066-K
1553GFC,JT2PMSF008HSSB0XE,2008,Toyota,RAV4,SUV,25906884-Y
2079NBL,VF7ZVCLG5SS3XTE8C,2025,Citroën,C5 Aircross,SUV,42260205-M
5042HRK,VF7K8DEZ4DE036BFW,2013,Citroën,C3,urbano,65837932-H
2412KZY,WBA85CW37K3VX12MS,2019,BMW,Serie 5,berlina,64458795-F
3101DBJ,JT2Y4DWE34LZHUZ2X,2004,Toyota,Yaris,urbano,45944350-X
7620FSJ,WF0XJ38M1798KFU5C,2007,Ford,Fiesta,urbano,45944350-X
1052FGF,WDBEGSLJ46PV912UL,2006,Mercedes-Benz,Clase A,urbano,14233443-P
4294LTD,VSSV564P7M08VFREK,2021,Seat,Ibiza,urbano,32318883-L
7448LZP,VSSCN7G43N08GM02G,2022,Seat,Toledo,sedán,47358662-Y
